Response_allseq,Period,Treatment,Gene
3.481809117,per1,trt2,Gene1
2.602979398,per1,trt2,Gene2
1.901934611,per1,trt2,Gene3
3.170503566,per1,trt2,Gene4
3.450146257,per1,trt2,Gene5
2.144353154,per1,trt2,Gene6
2.062909175,per1,trt2,Gene7
1.502549561,per1,trt2,Gene8
2.655482352,per1,trt2,Gene9
3.093487499,per1,trt2,Gene10
3.496238629,per2,trt1,Gene1
2.547289411,per2,trt1,Gene2
1.94281099,per2,trt1,Gene3
3.249367971,per2,trt1,Gene4
3.454260136,per2,trt1,Gene5
2.385428276,per2,trt1,Gene6
2.234559567,per2,trt1,Gene7
1.477439017,per2,trt1,Gene8
2.598936834,per2,trt1,Gene9
2.960934226,per2,trt1,Gene10
3.481855605,per3,trt3,Gene1
2.621625246,per3,trt3,Gene2
1.988190223,per3,trt3,Gene3
3.177447445,per3,trt3,Gene4
3.438721338,per3,trt3,Gene5
2.216715598,per3,trt3,Gene6
1.946891774,per3,trt3,Gene7
1.682033871,per3,trt3,Gene8
2.626467173,per3,trt3,Gene9
2.830107233,per3,trt3,Gene10
3.511079608,per1,trt2,Gene1
2.824238327,per1,trt2,Gene2
1.890757962,per1,trt2,Gene3
3.169171397,per1,trt2,Gene4
3.447924291,per1,trt2,Gene5
2.259823845,per1,trt2,Gene6
1.950774464,per1,trt2,Gene7
1.423099434,per1,trt2,Gene8
2.754468525,per1,trt2,Gene9
2.904329945,per1,trt2,Gene10
3.517271913,per2,trt1,Gene1
2.942717172,per2,trt1,Gene2
1.924016249,per2,trt1,Gene3
3.232878679,per2,trt1,Gene4
3.433583104,per2,trt1,Gene5
2.335680472,per2,trt1,Gene6
1.978188306,per2,trt1,Gene7
1.46389444,per2,trt1,Gene8
2.756357234,per2,trt1,Gene9
2.753140249,per2,trt1,Gene10
3.510604998,per3,trt3,Gene1
2.876351917,per3,trt3,Gene2
1.84691849,per3,trt3,Gene3
3.186414982,per3,trt3,Gene4
3.453717738,per3,trt3,Gene5
2.297141516,per3,trt3,Gene6
2.010654537,per3,trt3,Gene7
1.425985583,per3,trt3,Gene8
2.797724809,per3,trt3,Gene9
2.703534861,per3,trt3,Gene10
3.464704857,per1,trt2,Gene1
2.714025662,per1,trt2,Gene2
2.116976841,per1,trt2,Gene3
3.267039833,per1,trt2,Gene4
3.406367956,per1,trt2,Gene5
2.358399075,per1,trt2,Gene6
