,Response
1,3.481809117
2,2.602979398
3,1.901934611
4,3.170503566
5,3.450146257
6,2.144353154
7,2.062909175
8,1.502549561
9,2.655482352
10,3.093487499
11,3.496238629
12,2.547289411
13,1.94281099
14,3.249367971
15,3.454260136
16,2.385428276
17,2.234559567
18,1.477439017
19,2.598936834
20,2.960934226
21,3.481855605
22,2.621625246
23,1.988190223
24,3.177447445
25,3.438721338
26,2.216715598
27,1.946891774
28,1.682033871
29,2.626467173
30,2.830107233
31,3.487650984
32,2.660864743
33,1.871220711
34,3.203263813
35,3.451555339
36,2.326097225
37,1.941064983
38,1.569073
39,2.719768287
40,2.902598451
41,3.49418517
42,2.844335433
43,1.856352318
44,3.13831645
45,3.447781503
46,2.06595482
47,2.025386765
48,1.445297644
49,2.63389847
50,3.013396153
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,3.511079608
62,2.824238327
63,1.890757962
64,3.169171397
65,3.447924291
66,2.259823845
67,1.950774464
68,1.423099434
69,2.754468525
70,2.904329945
71,3.517271913
72,2.942717172
73,1.924016249
74,3.232878679
75,3.433583104
76,2.335680472
77,1.978188306
78,1.46389444
79,2.756357234
80,2.753140249
81,3.510604998
82,2.876351917
83,1.84691849
84,3.186414982
85,3.453717738
86,2.297141516
87,2.010654537
88,1.425985583
89,2.797724809
90,2.703534861
91,3.464704857
92,2.714025662
93,2.116976841
94,3.267039833
95,3.406367956
96,2.358399075
97,2.039924466
98,1.594080314
99,2.73078123
100,2.940311483
101,3.468883033
102,2.461552133
103,1.983670399
104,3.122795285
105,3.470512137
106,2.084176546
107,2.095245941
108,1.440521717
109,2.606539352
110,3.046098116
111,3.48665131
112,2.536880968
113,1.856105268
114,3.155898157
115,3.455936065
116,2.178918564
117,2.051194582
118,1.486498146
119,2.649123364
120,2.955768456
121,3.45880719
122,2.495907459
123,1.786993571
124,3.055140111
125,3.461693564
126,2.175416016
127,1.980098439
128,1.611743678
129,2.632810288
130,3.025314115
131,3.514940292
132,2.4783273
133,2.09364468
134,3.140246953
135,3.43435067
136,2.279483182
137,1.977287251
138,1.492324941
139,2.535109866
140,2.968925706
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,3.483630069
152,2.604415346
153,1.848181239
154,3.191306809
155,3.473893389
156,1.964313602
157,2.01541193
158,1.343947843
159,2.641920526
160,2.714243319
161,3.494201815
162,2.652865045
163,1.809998813
164,3.185717512
165,3.452855012
166,2.284129126
167,2.091097246
168,1.327842546
169,2.746093443
170,2.709663394
171,3.483726795
172,2.787708272
173,1.990700779
174,3.227058684
175,3.460654768
176,2.35421235
177,2.075820115
178,1.48655478
179,2.752491709
180,2.90510247
